iter,acc,bacc
1,0.8047588005215124,0.7131280642647809
2,0.795632333767927,0.6684519124805208
3,0.8109517601043025,0.7098092508380073
4,0.8008474576271186,0.6879786923878813
5,0.8076923076923077,0.6997862256859982
6,0.7930247718383312,0.6661842237303933
7,0.8129074315514994,0.7149380754357154
8,0.8008474576271186,0.7286373136477531
9,0.7822685788787483,0.6594456813357766
10,0.8037809647979139,0.6979303415554051
